Address,Common Name,Latitude,Longitude,Total,Substances,Noise
1900 ASBURY AVE,,42.052413,-87.69035099999999,1,0,0
2349 SHERIDAN RD,Beta Theta Pi,42.061102,-87.6769698,13,2,2
 2705 ASHLAND AVE ,,42.0669302,-87.6924432,1,0,0
 60 ARTS CIRCLE DR ,,42.0521894,-87.67142659999999,1,0,0
1936 MAPLE AVE,,42.0533763,-87.6849534,2,0,0
1100 EMERSON ST,,42.05182,-87.68629299999999,1,0,0
1517 CHICAGO AVE,,42.045721,-87.679886,1,0,0
800 CHURCH ST,,42.0484716,-87.68185129999999,1,0,0
1229 LEON PL,,42.05518199999999,-87.688586,1,0,0
1845 CAMPUS DR,,42.0502605,-87.6739886,1,0,0
MAPLE AVE AND SIMPSON ST,,42.0558142,-87.6846576,2,0,0
1935 SHERIDAN RD,,42.0507135,-87.6761078,4,0,0
1900 SHERIDAN RD,,42.0520864,-87.67726449999999,16,2,0
1301 CHICAGO AVE,,42.0413576,-87.6803259,1,0,0
1500 GROVE ST,,42.044936,-87.689381,1,0,0
1818 HINMAN AVE,Philosophy Department II,42.0497538,-87.6764433,5,0,0
600 GARRETT PL,,42.0562599,-87.6757925,1,0,0
817 EMERSON ST,,42.052413,-87.68275,4,0,0
630 EMERSON ST,Hobart House,42.0520786,-87.6784806,17,2,0
2212 SHERMAN AVE,,42.0581135,-87.6824117,2,1,1
822 HAMLIN ST,,42.0548307,-87.6828834,15,0,10
2603 SHERIDAN RD,,42.0640864,-87.6765406,1,0,0
339 CHICAGO AVE,,42.025247,-87.6777517,1,0,0
2210 MAPLE AVE,,42.0579493,-87.6848589,1,0,0
2002 PRATT CT,,42.054102,-87.686223,2,0,0
2142 MAPLE AVE,,42.057308,-87.685069,9,2,2
1735 CHICAGO AVE,,42.0484934,-87.6781431,2,0,0
2131 SHERMAN AVE,,42.056764,-87.681079,2,0,0
633 EMERSON ST,Student Health,42.0522868,-87.6788622,186,0,0
1819 HINMAN AVE,ACADEMIC OFFICE,42.0495512,-87.6761105,58,2,0
1922 SHERIDAN RD,College of Art/Sciences II,42.0529433,-87.67761279999999,7,0,0
1730 CHICAGO AVE,,42.0489108,-87.6787255,1,0,0
1909 ASBURY AVE,,42.052655,-87.68975999999999,1,0,0
1838 CAMPUS DR,,42.0502605,-87.6739886,1,0,0
RIDGE AVE AND CENTRAL ST,,42.0641594,-87.6835282,1,0,0
 SHERMAN AVE,,42.0434566,-87.681923,16,2,0
1113 GRANT ST,,42.059717,-87.686809,1,0,0
 ORRINGTON AVE,,42.0562359,-87.6796651,4,0,0
828 SIMPSON ST,,42.0555774,-87.68322979999999,10,0,7
 2529 W FITCH ST ,,42.0110389,-87.693668,1,0,0
1300 CHICAGO AVE,,42.0411843,-87.6805684,1,0,0
SHERIDAN RD AND LIBRARY PL,,42.05500139999999,-87.6771799,1,0,0
1024 FOSTER ST,,42.053693,-87.685985,2,0,0
2420 CAMPUS DR,Kemper Hall,42.0609938,-87.6749603,49,23,3
700 EMERSON ST,,42.0520824,-87.6790955,1,0,0
918 SIMPSON ST,,42.0556613,-87.68433879999999,2,0,2
1033 UNIVERSITY PL,,42.051097,-87.68609000000001,3,0,0
1018 FOSTER ST,,42.0537461,-87.6856378,1,0,0
912 HAMLIN ST,,42.0547759,-87.684143,9,0,6
CLARK ST AND JUDSON AVE,,42.0485706,-87.67472459999999,1,1,0
1703 RIDGE AVE,,42.048844,-87.68842200000002,3,0,1
1725 SHERMAN AVE,,42.04933949999999,-87.6814438,1,0,0
2151 RIDGE AVE,,42.0573738,-87.6858621,3,0,1
 1501 CENTRAL ST ,,42.0642783,-87.6928188,3,0,0
823 HAMLIN ST,,42.055304,-87.682857,1,0,0
